Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
0,12.315609927721388,12.64339543786194,1.7505090024723315,1.3674947935429775,14.0,14.0,1.7081055346161487,1.689307479224378,1.931626013298666,2.0927217725574048
1,12.366593858932738,12.656082752110988,1.7547453461595173,1.386235893214081,14.047121951935463,14.04712195193546,1.7138547679663536,1.6949934410701093,3.5659119036027467,3.195580696238084
2,12.456183745913995,12.694337399251843,1.7774490038211292,1.418800670220846,14.094232277234385,14.094232277234385,1.7196025827792583,1.7006779999898347,4.036239852907511,3.593433924511255
3,12.530255588639767,12.73289422817698,1.799036377762017,1.4447161561756907,14.141319352128928,14.141319352128928,1.7253475608675621,1.7063597534037027,3.8542737839021317,3.5895986948630965
4,12.614580546204373,12.785162358700777,1.8296736855123674,1.4736376068208654,14.18837155858794,14.18837155858794,1.7310882847438867,1.7120372994240758,3.9793845054288934,3.8015548054604476
5,12.725050998023544,12.843833058358527,1.8634924376274862,1.5113568187393314,14.235377287183535,14.235377287183535,1.7368233379705156,1.7177092372014275,4.295869063728763,3.8959919272758445
6,12.827219859698173,12.90364979289295,1.8964364806784173,1.5449316567520384,14.282324939955544,14.282324939955542,1.7425513055088795,1.723374167269984,4.199761780598687,3.906408401940375
7,12.932358977719515,12.978284715793636,1.9388830488934006,1.578586347001338,14.329202933273136,14.329202933273136,1.7482707740687002,1.7290306918930143,4.236493242959253,4.137089107898105
8,13.017598607194117,13.049526103714156,1.977023499394558,1.6038025277267465,14.375999700692912,14.375999700692914,1.753980332456691,1.7346774154077114,3.99579901902248,4.081066682990199
9,13.127283378134466,13.119073589209124,2.0122963670381884,1.63729063620348,14.422703695812748,14.422703695812748,1.759678571924752,1.7403129445695393,4.290049394858789,4.0517798326140095
10,13.202764281578268,13.16548281636201,2.028769919528657,1.6572825456903617,14.469303395120694,14.469303395120692,1.765364086517563,1.7459358888960068,3.8841476111690008,3.680342757192854
11,13.298088919094278,13.2093165880981,2.042511000701131,1.684267823320109,14.515787300838229,14.515787300838229,1.7710354734194709,1.7515448610097335,4.131216368255572,3.635687883097016
12,13.373267181142305,13.261577094850932,2.06188670131423,1.7032477220547857,14.562143943757174,14.562143943757173,1.7766913333006176,1.757138476980785,3.8971633330064566,3.7670307198452457
13,13.447914430534484,13.329550295823536,2.0923264708828757,1.721531033527237,14.608361886069538,14.608361886069538,1.7823302706622128,1.7627153566681162,3.8928895497545084,4.01858603532605
14,13.480785911465613,13.375935783739633,2.1057047050073567,1.7238300452033313,14.654429724189628,14.654429724189628,1.7879508941808369,1.7682741240601136,3.390767956103537,3.679829022783469
15,13.54413588215406,13.42950076214711,2.124165369777017,1.7373648322197353,14.700336091567717,14.700336091567715,1.7935518170517384,1.7738134076141012,3.758311045212721,3.798910539850108
16,13.624275895666768,13.487123045013163,2.145038867535991,1.7568282347553679,14.746069661494564,14.746069661494564,1.7991316573310105,1.7793318405947485,3.9640392438147907,3.8651658260542843
17,13.70674798349545,13.523143996041302,2.1489164137539833,1.776865143804927,14.79161914989612,14.79161914989612,1.8046890382765546,1.78482806141129,4.001239103099489,3.519911502653891
18,13.799872507927109,13.56178689776819,2.154422370961007,1.800679730016101,14.836973318117687,14.836973318117687,1.810222588687782,1.7903007139534828,4.143032099449492,3.557697426467034
19,13.83475193708829,13.604360575253118,2.162704138954836,1.8025394380456787,14.882120975696912,14.882120975696912,1.8157309432439264,1.7957484479262,3.451835097274709,3.6212167859704745
20,13.882708258890139,13.657318626790197,2.1787262664847185,1.8092371241589968,14.927050983124841,14.927050983124841,1.8212127428409264,1.8011699191826007,3.6108418384036507,3.7926659669882072
21,13.95160625755328,13.717541574592731,2.199802672615326,1.823545019689537,14.971752254594449,14.971752254594447,1.8266666349267553,1.8065637900557756,3.864489753728331,3.913031285032404
22,14.05664832661132,13.805075728324942,2.2406507379821368,1.8508491325558638,15.016213760735875,15.016213760735873,1.832091273835151,1.8119287296887965,4.300260798498656,4.350679329935701
23,14.12532216512145,13.883874225381561,2.273684786269777,1.863898663089592,15.060424531337771,15.06042453133777,1.8374853211176325,1.8172634143630861,3.8623904025575104,4.216357821518039
24,14.192303131306497,13.945446283438036,2.2929110939398036,1.8759661174465228,15.104373658054033,15.104373658054033,1.8428474458737476,1.8225665278250258,3.842555173348185,3.9481598128396285
25,14.257995059638704,14.01829208915474,2.320149553189179,1.8872611987341206,15.148050297095269,15.148050297095269,1.848176325079444,1.8278367616107216,3.8285905989146802,4.1335903301587935
26,14.350893225946932,14.083373006684866,2.340788044621362,1.9084041776052614,15.191443671904342,15.191443671904342,1.85347064391352,1.8330728153688465,4.158966157728821,4.014115360318921
27,14.430696659041121,14.128031170601068,2.3454389320518008,1.9244130050519743,15.234543075815326,15.234543075815326,1.858729096082021,1.838273397181485,4.011496968780638,3.6897177714128926
28,14.476537520542388,14.176478836314141,2.352918529039797,1.9276770136110277,15.277337874695219,15.277337874695219,1.8639503841405582,1.8434372238828935,3.6120145765669247,3.7534781780504307
29,14.531088260551911,14.234700746071589,2.3677557728094962,1.9341924314110688,15.319817509567745,15.319817509567745,1.8691332198144317,1.8485630213760986,3.7206199098035935,3.9157690060055734
30,14.593942815976792,14.294725020653322,2.383702048093755,1.9437079110167979,15.36197149921864,15.36197149921864,1.8742763243164915,1.8536495249472706,3.8240054235301466,3.9506822202516085
31,14.652692037540254,14.333829031849962,2.3836275823657025,1.9516644992895633,15.40378944278172,15.403789442781719,1.879378428662661,1.858695479577763,3.7819868409509843,3.6219219619243437
32,14.706775829085453,14.373900430974167,2.384437597958004,1.9579754861165488,15.445261022305147,15.445261022305145,1.8844382739850358,1.8636996402537753,3.7357250103067265,3.640685216168554
33,14.784085512148351,14.416315247997826,2.387067389974955,1.9730319007828845,15.486376005297222,15.486376005297222,1.8894546118424929,1.8686607722735393,4.025518305047045,3.680021442529246
34,14.843104138081902,14.467157808799266,2.396028092177247,1.9811973156796079,15.527124247251114,15.527124247251113,1.89442620452873,1.8735776515519655,3.815222499546109,3.816723319473441
35,14.894615632116398,14.515414244786792,2.4029773367040206,1.9865521686231273,15.567495694147846,15.567495694147846,1.8993518253776434,1.8784490649226615,3.7312590296007735,3.7807197107586865
36,14.941741465680746,14.570156393925858,2.414836551799176,1.9902765337644597,15.60748038493699,15.60748038493699,1.9042302590659892,1.8832738104372737,3.683098345767065,3.8904438659783858
37,14.997051729068687,14.611416221094583,2.41644637358608,1.997110601250771,15.647068453994395,15.647068453994395,1.9090603019132557,1.8880506976620393,3.7874423594972866,3.6813431913545696
38,15.062699719589956,14.6397308388687,2.4083960099858235,2.007947623628941,15.686250133556392,15.686250133556392,1.913840762178641,1.8927785479715156,3.9235713714080247,3.4770340090330967
39,15.104267774921158,14.686760973209214,2.414794462837831,2.009878566059336,15.725015756129835,15.725015756129835,1.9185704603551093,1.8974561948393813,3.6439703043014524,3.77835854866938
40,15.157494994574785,14.727216063508603,2.416295672175519,2.0162692818543837,15.76335575687742,15.76335575687742,1.923248229460403,1.9020824841262638,3.790542451037689,3.679000652165436
41,15.221011154020927,14.764987158495003,2.415862064814876,2.026594623141797,15.801260675977652,15.801260675977652,1.9278729153249954,1.9066562743645075,3.9240201614269283,3.638970276156314
