Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
0,12.310038066959024,12.638324882237189,1.7467310045758246,1.3654533334267285,14.0,14.0,1.7081055346161487,1.689307479224378,1.865128746676078,2.0120984673024482
1,12.374507738279338,12.653954494859635,1.7532764158703427,1.3892829996058595,14.047121951935463,14.04712195193546,1.7138547679663536,1.6949934410701093,3.7294622808242854,3.2415105709531327
2,12.479000402694625,12.67839280661811,1.7655132906200246,1.4274405117478983,14.094232277234385,14.094232277234385,1.7196025827792583,1.7006779999898347,4.2216251461863425,3.368772583680314
3,12.558489672224143,12.726835312851831,1.7946404924931012,1.4553504984389694,14.141319352128928,14.141319352128928,1.7253475608675621,1.7063597534037027,3.9283258162917956,3.7399930356686375
4,12.650188269107662,12.779982238133378,1.825776107243287,1.486901825698686,14.18837155858794,14.18837155858794,1.7310882847438867,1.7120372994240758,4.076104064591505,3.808353923558926
5,12.757466483523553,12.831587580462871,1.8541042983722824,1.5233220044419582,14.235377287183535,14.235377287183535,1.7368233379705156,1.7177092372014275,4.267276257223837,3.775509421402343
6,12.867570124858698,12.885994083831315,1.8829445694219709,1.5598349407134893,14.282324939955544,14.282324939955542,1.7425513055088795,1.723374167269984,4.30758229958901,3.810842903697134
7,12.993122655494346,12.926645989278308,1.8998304625707687,1.6012520542936666,14.329202933273136,14.329202933273136,1.7482707740687002,1.7290306918930143,4.5040887681396935,3.580587010987972
8,13.105478181517084,12.986805665004201,1.9301242772144898,1.6368535629286272,14.375999700692912,14.375999700692914,1.753980332456691,1.7346774154077114,4.356266369656072,3.88085056425749
9,13.208996983983043,13.020013429276846,1.9386993247352058,1.6684396727145856,14.422703695812748,14.422703695812748,1.759678571924752,1.7403129445695393,4.260828007967039,3.4434094693525616
10,13.360282619244082,13.073198955446436,1.9612910296504038,1.7172137351708836,14.469303395120694,14.469303395120692,1.765364086517563,1.7459358888960068,4.85067578727876,3.749451852194157
11,13.491567194570399,13.145354684981982,1.9966726384330669,1.7575238436375493,14.515787300838229,14.515787300838229,1.7710354734194709,1.7515448610097335,4.622524365399215,4.041000583371354
12,13.596029164053038,13.19778514773111,2.0156708117071185,1.7870079904997374,14.562143943757174,14.562143943757173,1.7766913333006176,1.757138476980785,4.309018076240791,3.7212253422818597
13,13.683368459379883,13.245882209109112,2.030528639948824,1.8095995798465927,14.608361886069538,14.608361886069538,1.7823302706622128,1.7627153566681162,4.112848066294792,3.648695500562413
14,13.759668663034548,13.299362101761698,2.0487998819111675,1.827676113620035,14.654429724189628,14.654429724189628,1.7879508941808369,1.7682741240601136,3.987320113541448,3.7336667108857577
15,13.840741932689054,13.360191648994672,2.0719124948724104,1.84713695354286,14.700336091567717,14.700336091567715,1.7935518170517384,1.7738134076141012,4.049206236708246,3.8517993705771763
16,13.935718371097776,13.40981903771328,2.0857406191706596,1.8714052619197852,14.746069661494564,14.746069661494564,1.7991316573310105,1.7793318405947485,4.223530012491633,3.672839239899759
17,14.021586836915978,13.472954930796908,2.109108794459486,1.891851888422555,14.79161914989612,14.79161914989612,1.8046890382765546,1.78482806141129,4.121764171341083,3.8873084889506164
18,14.075958165536187,13.52923961742068,2.1266417266683098,1.9001729181040072,14.836973318117687,14.836973318117687,1.810222588687782,1.7903007139534828,3.746558721659408,3.7818945502133205
19,14.127093474014323,13.576227259443007,2.1368134932604734,1.9071579116886772,14.882120975696912,14.882120975696912,1.8157309432439264,1.7957484479262,3.7107762090743357,3.639213134752469
20,14.186912812758592,13.621255250560791,2.1453219386770086,1.9173306065845888,14.927050983124841,14.927050983124841,1.8212127428409264,1.8011699191826007,3.8207393440071984,3.6119517042654463
21,14.221471273485136,13.685193222266436,2.1679672330453887,1.9179168609510802,14.971752254594449,14.971752254594447,1.8266666349267553,1.8065637900557756,3.518558751417208,3.9198505297996915
22,14.305469724989717,13.762448463701613,2.200076845003287,1.936705675302674,15.016213760735875,15.016213760735873,1.832091273835151,1.8119287296887965,4.110488523031315,4.139439070890213
23,14.400690793783344,13.815802238224022,2.2132026608251083,1.9592950008736238,15.060424531337771,15.06042453133777,1.8374853211176325,1.8172634143630861,4.25101444810512,3.760634388584411
24,14.492966164964466,13.867195002804618,2.2243300191096265,1.9805111205103965,15.104373658054033,15.104373658054033,1.8428474458737476,1.8225665278250258,4.226800109604672,3.7284372615795567
25,14.558374348411807,13.914027722703546,2.231688202348011,1.9915066306870348,15.148050297095269,15.148050297095269,1.848176325079444,1.8278367616107216,3.9138658149227505,3.6569434025829985
26,14.615495285927537,13.957125543349903,2.236140521713977,1.9993857776346866,15.191443671904342,15.191443671904342,1.85347064391352,1.8330728153688465,3.8224885792472145,3.60085635954508
27,14.698875358531582,14.005864074275618,2.2447425025755128,2.017050329259171,15.234543075815326,15.234543075815326,1.858729096082021,1.838273397181485,4.147359751977294,3.692696351881135
28,14.75785347134821,14.057306974224316,2.255174877424367,2.025459407266438,15.277337874695219,15.277337874695219,1.8639503841405582,1.8434372238828935,3.8624773527117355,3.738400911721424
29,14.830278442577985,14.108965434153658,2.2655652601569156,2.038823309277613,15.319817509567745,15.319817509567745,1.8691332198144317,1.8485630213760986,4.030862731448663,3.745658911341833
30,14.880773877807133,14.15911892501597,2.274659221155985,2.0439089253108964,15.36197149921864,15.36197149921864,1.8742763243164915,1.8536495249472706,3.773844814559035,3.7261622142311768
31,14.930773574540652,14.198804499160271,2.275840276392191,2.048873004843442,15.40378944278172,15.403789442781719,1.879378428662661,1.858695479577763,3.7743929385467334,3.5647983935100647
32,14.988905203400579,14.266288707912608,2.2980555790526997,2.0568386177319566,15.445261022305147,15.445261022305145,1.8844382739850358,1.8636996402537753,3.8762500888266826,4.013456070520958
33,15.03082269587743,14.29694178074508,2.292195969961873,2.0587483209311612,15.486376005297222,15.486376005297222,1.8894546118424929,1.8686607722735393,3.6866074760782106,3.433092106158802
34,15.080734711841417,14.350782146567449,2.3041510727986556,2.063766595311415,15.527124247251114,15.527124247251113,1.89442620452873,1.8735776515519655,3.789237548908946,3.807741604183062
