Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
27,11.653169399510155,13.905604124680327,2.4168032224685287,1.0545893809333962,12.0,16.0,2.59706907632719,0.978042187132046,2.3920583153664143,3.862307543752669
28,11.638852722313949,13.918674130961227,2.4147910193196545,1.0466224231542562,12.0,16.0,2.59706907632719,0.978042187132046,2.3352404112644094,3.6057683675472845
29,11.63871247690462,13.93894645579593,2.4185220398996727,1.044116232260408,12.0,16.0,2.59706907632719,0.978042187132046,2.503718854751579,3.7264378056380463
30,11.622306006436485,13.95089536676417,2.4161787289710164,1.0356624586382583,12.0,16.0,2.59706907632719,0.978042187132046,2.3063984865247145,3.600021453300503
31,11.648273203066932,13.976095880506096,2.4239944505755764,1.0431085321456697,12.0,16.0,2.59706907632719,0.978042187132046,2.8151423892383987,3.8143870103747144
32,11.668238730912213,14.000720366380033,2.4311193374550393,1.0481045654992067,12.0,16.0,2.59706907632719,0.978042187132046,2.7443528625115063,3.805580792840379
33,11.661289296942389,14.020191281584324,2.4343124190940584,1.0429816369211657,12.0,16.0,2.59706907632719,0.978042187132046,2.420103305589699,3.727298509274928
34,11.687013237475904,14.044053062266613,2.440819717850256,1.0500644248014832,12.0,16.0,2.59706907632719,0.978042187132046,2.8123358285238402,3.8002053392454704
35,11.683917224999181,14.063028104622916,2.4435624391822786,1.0462847289524562,12.0,16.0,2.59706907632719,0.978042187132046,2.466385456601382,3.725008833192312
36,11.694037927875202,14.078665610134324,2.443883075232559,1.0475111305486042,12.0,16.0,2.59706907632719,0.978042187132046,2.6251848758996346,3.67554265686678
37,11.693463304247235,14.105049196983027,2.4524229948534395,1.0447265096310665,12.0,16.0,2.59706907632719,0.978042187132046,2.495725195118361,3.8506310074799406
38,11.699737899243255,14.130193099155766,2.4599803085108576,1.0444779645212086,12.0,16.0,2.59706907632719,0.978042187132046,2.575096716295904,3.8361281908361096
39,11.708704300811963,14.157918332789976,2.4694050141988697,1.0451631409720261,12.0,16.0,2.59706907632719,0.978042187132046,2.6052793257227234,3.8815044468835107
40,11.73077871432268,14.204415362369009,2.4927526885454805,1.050522128649704,12.0,16.0,2.59706907632719,0.978042187132046,2.7587421905234564,4.184687815563681
41,11.704520783369095,14.250535727152638,2.515477004502695,1.037584517642383,12.0,16.0,2.59706907632719,0.978042187132046,2.167906774219937,4.18878282493573
42,11.70019915906929,14.281002070643234,2.526245812338332,1.0328970936660589,12.0,16.0,2.59706907632719,0.978042187132046,2.42129166458964,3.9513402160533464
43,11.694332446605019,14.30387163371436,2.5313059609532846,1.027686494141351,12.0,16.0,2.59706907632719,0.978042187132046,2.398377108260267,3.8378878259915874
44,11.708637255442918,14.326473936634162,2.5362085180938596,1.0300547150962738,12.0,16.0,2.59706907632719,0.978042187132046,2.6394033345247783,3.8382686208791
45,11.711052798808728,14.333520831607807,2.5294072383557995,1.0280230631066674,12.0,16.0,2.59706907632719,0.978042187132046,2.4986583776718314,3.5929853849731885
46,11.743743112889213,14.354587561090609,2.5333399191516324,1.0373283761815215,12.0,16.0,2.59706907632719,0.978042187132046,2.8663743701505897,3.8162428363900256
47,11.732467615289323,14.38472125666667,2.544095800929407,1.0300766643457844,12.0,16.0,2.59706907632719,0.978042187132046,2.3372300105648773,3.964244209434287
48,11.75853761326593,14.395499740639915,2.5401538539531763,1.0368388266177226,12.0,16.0,2.59706907632719,0.978042187132046,2.785875125451244,3.659602573233544
49,11.776854082424608,14.42665542725767,2.551614995735539,1.0405760590575412,12.0,16.0,2.59706907632719,0.978042187132046,2.6954863185864877,3.9842567213887787
