Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
0,12.306903756477105,12.646128973849434,1.7526007382256514,1.3642420656467837,12.0,16.0,2.59706907632719,0.978042187132046,1.8256733928591784,2.137359349002273
1,12.259462980142331,12.689802806814773,1.7805657447424224,1.346235688216232,12.0,16.0,2.59706907632719,0.978042187132046,2.3653219764089473,3.7038152914122473
2,12.251689502937804,12.787117958546627,1.84826288013418,1.3425505769328379,12.0,16.0,2.59706907632719,0.978042187132046,2.8123137587832976,4.576066614608655
3,12.221611652588797,12.873081705882251,1.9057116229871127,1.3297005742763868,12.0,16.0,2.59706907632719,0.978042187132046,2.509688241865898,4.41594861077678
4,12.175167165244858,12.958776423586645,1.9617882817452523,1.3101715293170066,12.0,16.0,2.59706907632719,0.978042187132046,2.277967070686646,4.435528969211219
5,12.176506963523007,13.026810073236653,2.0033741470629076,1.308062249789135,12.0,16.0,2.59706907632719,0.978042187132046,2.824094408298383,4.173655733539218
6,12.170226104477306,13.11771215772039,2.0611758022485116,1.3024739447028006,12.0,16.0,2.59706907632719,0.978042187132046,2.7083887198904772,4.553679936725692
7,12.142530405079109,13.190108353619332,2.1038504212584477,1.288357347485519,12.0,16.0,2.59706907632719,0.978042187132046,2.4242616490949835,4.278663671327139
8,12.10206463948772,13.236364149252546,2.126279070630065,1.269350347809457,12.0,16.0,2.59706907632719,0.978042187132046,2.2491455931352244,3.881937322452752
9,12.106204367989388,13.276903178407238,2.144215642879113,1.2670403031312794,12.0,16.0,2.59706907632719,0.978042187132046,2.772108625086535,3.804308763671038
10,12.067335415127868,13.328157351803195,2.1701333768398614,1.2485478006688582,12.0,16.0,2.59706907632719,0.978042187132046,2.2419964114664652,3.9886603755037857
11,12.052259303690048,13.399467123675521,2.2109419860288053,1.2388334489481365,12.0,16.0,2.59706907632719,0.978042187132046,2.5072759310200095,4.326395834853159
12,12.031963435011138,13.471345703880443,2.2515279481374666,1.2268626428846645,12.0,16.0,2.59706907632719,0.978042187132046,2.422675512835636,4.3538604118787205
13,12.031982251365562,13.532462538424497,2.2833288458690553,1.2222352600998092,12.0,16.0,2.59706907632719,0.978042187132046,2.648466250937364,4.198592980696328
14,12.000837340536814,13.587314254991028,2.31003123003462,1.2057969204356516,12.0,16.0,2.59706907632719,0.978042187132046,2.258038044050919,4.1147687739969685
15,11.978390933557549,13.636153708660196,2.332079550996258,1.1926509982373321,12.0,16.0,2.59706907632719,0.978042187132046,2.3464966905282276,4.036334266029615
16,11.939939848813536,13.661344046720664,2.336370245891901,1.1737176474469362,12.0,16.0,2.59706907632719,0.978042187132046,2.1425178938458527,3.6753699890341434
17,11.905884274105162,13.70387923759607,2.354241477340984,1.156712337230526,12.0,16.0,2.59706907632719,0.978042187132046,2.1833288242743083,3.9676729944722657
18,11.864287664402221,13.744276193689688,2.370704421833,1.1370850619026316,12.0,16.0,2.59706907632719,0.978042187132046,2.077802444438896,3.95137325709774
19,11.854178586755799,13.781040999942196,2.3845432686719596,1.1294036998334482,12.0,16.0,2.59706907632719,0.978042187132046,2.444344470357964,3.908084314441057
20,11.835050730149645,13.834475679501338,2.4109808861481716,1.118324426690168,12.0,16.0,2.59706907632719,0.978042187132046,2.324330259608376,4.186660942493988
21,11.816455222845246,13.885783517859442,2.4356106427499706,1.1073936138439586,12.0,16.0,2.59706907632719,0.978042187132046,2.3159357733596746,4.168179553660537
22,11.779123144585991,13.926682392756184,2.4523502426957497,1.0895274417372902,12.0,16.0,2.59706907632719,0.978042187132046,2.076447099767548,4.018854016092173
23,11.746608085456756,13.964954358845379,2.467323791884527,1.0736770024218552,12.0,16.0,2.59706907632719,0.978042187132046,2.1206186981643618,3.993830780036979
24,11.72635208527372,13.990046433413621,2.4725393525482864,1.0626377897761767,12.0,16.0,2.59706907632719,0.978042187132046,2.2583657292944683,3.7974569807291587
25,11.723937953744516,14.029767779969209,2.488995784792138,1.0583659130670258,12.0,16.0,2.59706907632719,0.978042187132046,2.4657888371881937,4.040446268252815
26,11.696759700423797,14.057245589036617,2.4962329891454575,1.044900264003815,12.0,16.0,2.59706907632719,0.978042187132046,2.160347643795688,3.8566024199764675
27,11.684211135234849,14.085628252644566,2.504420924444273,1.03710493635882,12.0,16.0,2.59706907632719,0.978042187132046,2.328871937835949,3.882198469321503
28,11.67384601474831,14.123068011795274,2.519575400364515,1.0301870293344426,12.0,16.0,2.59706907632719,0.978042187132046,2.347853644850185,4.036433486788299
29,11.674978741763155,14.165892594429621,2.538688601833774,1.0275107714862395,12.0,16.0,2.59706907632719,0.978042187132046,2.4777709817655253,4.131824933890693
30,11.68152853901024,14.197710900751545,2.549242400582499,1.0267603708974555,12.0,16.0,2.59706907632719,0.978042187132046,2.537332662331171,3.96388395392254
31,11.684390397474797,14.227619192614403,2.558286197818002,1.024583955309042,12.0,16.0,2.59706907632719,0.978042187132046,2.489823314391983,3.939530854101355
32,11.686963922410536,14.268490309887392,2.5755691698479546,1.0222307611732127,12.0,16.0,2.59706907632719,0.978042187132046,2.4813325279456695,4.121362609027666
33,11.672099365765089,14.29810974147844,2.584273735016145,1.0133503784017057,12.0,16.0,2.59706907632719,0.978042187132046,2.2651991340317568,3.9516002140113353
34,11.675580010534713,14.32854749377029,2.5936845584164465,1.0114067989092532,12.0,16.0,2.59706907632719,0.978042187132046,2.4806413501067577,3.972970812538561
35,11.674929737954603,14.347840512773843,2.594701236287754,1.007960992439244,12.0,16.0,2.59706907632719,0.978042187132046,2.429129016857892,3.8013539592177645
36,11.68050229411874,14.373929193814377,2.6010144627140823,1.0069038985507015,12.0,16.0,2.59706907632719,0.978042187132046,2.502821469659234,3.9147083105369416
37,11.691339507118743,14.418421736606554,2.6211713095742626,1.00770304047433,12.0,16.0,2.59706907632719,0.978042187132046,2.562125757556052,4.213628536739715
38,11.691645875545463,14.47747154761133,2.6519842104609084,1.0043070933469784,12.0,16.0,2.59706907632719,0.978042187132046,2.426095625135887,4.454773485871789
39,11.696060997093014,14.481142496740578,2.6405981655665953,1.0024461239866667,12.0,16.0,2.59706907632719,0.978042187132046,2.4719569058213264,3.5799347032230644
40,11.699246494560246,14.505682948210794,2.6453969833803637,1.000268792344365,12.0,16.0,2.59706907632719,0.978042187132046,2.459273319635539,3.9157834365848405
41,11.7130278807712,14.511848550442,2.6363949139451544,1.0021505285823973,12.0,16.0,2.59706907632719,0.978042187132046,2.5891237380197194,3.625860384450723
42,11.72549451374827,14.521990232537625,2.630689861137305,1.0036486074487574,12.0,16.0,2.59706907632719,0.978042187132046,2.578966116375991,3.689446658752243
43,11.71566662227285,14.548532806068112,2.63768200233716,0.9968899082409827,12.0,16.0,2.59706907632719,0.978042187132046,2.311128140709735,3.955252863791793
44,11.727191334613652,14.579814165980423,2.648289766285804,0.9981372491158724,12.0,16.0,2.59706907632719,0.978042187132046,2.564128134834157,4.03716752315751
45,11.729307844372595,14.613897039731869,2.660905728257141,0.995770608941802,12.0,16.0,2.59706907632719,0.978042187132046,2.4476416302902,4.087506094213841
46,11.732683439239128,14.626644277966117,2.65735876427671,0.9939186208482812,12.0,16.0,2.59706907632719,0.978042187132046,2.461458237577897,3.7530052252054733
47,11.755037852043648,14.652043792602845,2.663503728455747,0.9991773744399532,12.0,16.0,2.59706907632719,0.978042187132046,2.6914158934467944,3.956477666851297
